S0,P,APE,kappa,runtime,K,dt
100,10000,153.358,5.97058e+17,0.0507034,95,0.0001
100,10000,188.419,2.32361e+17,0.0432108,95,0.0001
100,10000,0.0245949,8.36843e+15,0.209669,110,0.00025
100,10000,0.0141355,8.72444e+15,0.227382,110,0.00025
100,10000,0.0369729,8.36028e+15,0.213888,110,0.00025
100,10000,0.00271102,8.1933e+15,0.217917,110,0.00025
100,10000,0.00538808,8.01551e+15,0.206708,110,0.00025
100,10000,0.0508555,8.75348e+15,0.209828,110,0.00025
100,10000,0.0897084,7.95504e+15,0.209319,110,0.00025
100,10000,0.132093,8.36042e+15,0.211723,110,0.00025
100,10000,0.117159,8.15693e+15,0.206658,110,0.00025
100,10000,0.0522213,8.20516e+15,0.208388,110,0.00025
100,10000,0.0473085,8.30598e+15,0.208921,110,0.00025
100,10000,0.171129,8.38637e+15,0.205927,110,0.00025
100,10000,0.231273,8.9263e+15,0.210034,110,0.00025
100,10000,0.0549103,8.29094e+15,0.206736,110,0.00025
100,10000,0.00320528,8.42279e+15,0.208725,110,0.00025
100,10000,0.0991035,8.43064e+15,0.206834,110,0.00025
100,10000,0.173442,8.33171e+15,0.230506,110,0.00025
100,10000,0.0107332,8.25427e+15,0.209142,110,0.00025
100,10000,0.033866,8.60266e+15,0.205636,110,0.00025
100,10000,0.0380079,8.37186e+15,0.2197,110,0.00025
100,10000,0.0128383,8.31617e+15,0.221733,110,0.00025
100,10000,0.208866,8.16438e+15,0.2064,110,0.00025
100,10000,0.0847641,7.99212e+15,0.208537,110,0.00025
100,10000,0.0535865,8.26519e+15,0.20762,110,0.00025
100,10000,0.0608522,8.07642e+15,0.205586,110,0.00025
100,10000,0.0115432,8.54307e+15,0.204235,110,0.00025
100,10000,0.116967,8.08905e+15,0.207057,110,0.00025
100,10000,0.0453286,8.04289e+15,0.206426,110,0.00025
100,10000,0.0240934,8.24062e+15,0.204365,110,0.00025
100,10000,0.0508027,8.47918e+15,0.205487,110,0.00025
100,10000,0.0177454,8.339e+15,0.221338,110,0.00025
100,10000,0.0116466,8.15383e+15,0.208228,110,0.00025
100,10000,0.128271,8.24266e+15,0.21112,110,0.00025
100,10000,0.0894889,8.07751e+15,0.208764,110,0.00025
100,10000,0.0172574,8.06171e+15,0.209127,110,0.00025
100,10000,0.0168925,8.46641e+15,0.22343,110,0.00025
100,10000,0.0420611,8.35321e+15,0.209096,110,0.00025
100,10000,0.0403981,8.34722e+15,0.205024,110,0.00025
100,10000,0.0318983,8.21599e+15,0.20751,110,0.00025
100,10000,0.000341275,8.74956e+15,0.207964,110,0.00025
100,10000,0.112081,7.73681e+15,0.225741,110,0.00025
