N,P,APE,kappa,runtime,K,dt
35,10000,0.0423291,2.98145e+12,0.0624445,110,0.0285714
20,10000,1.37092,2.28702e+12,0.0362812,110,0.05
15,10000,1.07551,1.94816e+12,0.0274931,110,0.0666667
10,10000,1.08435,1.51749e+12,0.0175748,110,0.1
5,10000,1.6333,1.02945e+12,0.0092652,110,0.2
3,10000,3.39191,7.42196e+11,0.0051948,110,0.333333
2,10000,5.97218,6.15407e+11,0.0033715,110,0.5
1,10000,10.0437,0,0.001323,110,1
10000,10000,0.311556,1.9488e+14,22.3348,110,0.0001
7500,10000,1.39317,4.00647e+14,19.5467,110,0.000133333
5000,10000,0.463243,2.63325e+14,10.2162,110,0.0002
2500,10000,0.432948,1.36843e+14,4.91646,110,0.0004
1000,10000,1.33958,5.10727e+13,1.7479,110,0.001
500,10000,0.307514,2.72748e+13,0.879384,110,0.002
250,10000,0.0705106,1.49042e+13,0.4153,110,0.004
200,10000,0.579773,1.14302e+13,0.326788,110,0.005
150,10000,1.35716,9.23896e+12,0.248226,110,0.00666667
100,10000,0.658764,6.47149e+12,0.16609,110,0.01
50,10000,1.1605,3.76627e+12,0.0849241,110,0.02
35,10000,0.645554,3.03922e+12,0.0614069,110,0.0285714
20,10000,0.828761,2.27095e+12,0.0357031,110,0.05
15,10000,0.890928,1.88737e+12,0.0263246,110,0.0666667
10,10000,0.20378,1.50036e+12,0.0177834,110,0.1
5,10000,1.32754,1.02768e+12,0.0086678,110,0.2
3,10000,3.45737,8.58017e+11,0.0050815,110,0.333333
2,10000,2.5896,6.04118e+11,0.0032639,110,0.5
1,10000,11.1166,0,0.0012252,110,1
10000,10000,0.855512,2.08842e+14,20.9009,110,0.0001
7500,10000,1.67734,3.54251e+14,19.2605,110,0.000133333
5000,10000,0.34658,2.62741e+14,9.82464,110,0.0002
2500,10000,1.55491,1.29967e+14,5.0969,110,0.0004
1000,10000,0.744266,5.06926e+13,1.82965,110,0.001
500,10000,0.616033,2.75033e+13,0.873862,110,0.002
250,10000,0.288943,1.43931e+13,0.472533,110,0.004
200,10000,1.12067,1.11955e+13,0.411596,110,0.005
150,10000,0.774618,8.74144e+12,0.264363,110,0.00666667
100,10000,0.394549,6.572e+12,0.17045,110,0.01
50,10000,0.458841,3.61606e+12,0.0871838,110,0.02
35,10000,0.297041,2.94615e+12,0.0626631,110,0.0285714
20,10000,1.47777,2.16939e+12,0.0363096,110,0.05
15,10000,1.12003,1.83771e+12,0.0326648,110,0.0666667
10,10000,0.514802,1.613e+12,0.0182876,110,0.1
5,10000,2.52933,1.10532e+12,0.0094422,110,0.2
3,10000,3.80874,8.0448e+11,0.0054073,110,0.333333
2,10000,5.0488,6.55352e+11,0.0047962,110,0.5
1,10000,9.023,0,0.001406,110,1
10000,10000,0.157444,2.0261e+14,22.0447,110,0.0001
7500,10000,0.352792,3.95833e+14,19.4154,110,0.000133333
5000,10000,0.871381,2.51961e+14,9.95223,110,0.0002
2500,10000,0.170151,1.35095e+14,4.942,110,0.0004
1000,10000,0.139883,5.42402e+13,1.74421,110,0.001
500,10000,0.617861,2.59517e+13,0.848979,110,0.002
250,10000,0.245408,1.44586e+13,0.44547,110,0.004
200,10000,0.521105,1.12882e+13,0.332193,110,0.005
150,10000,1.1198,9.15507e+12,0.250883,110,0.00666667
100,10000,0.0853069,6.32672e+12,0.167831,110,0.01
50,10000,0.49531,3.63291e+12,0.0891994,110,0.02
35,10000,1.06514,2.99005e+12,0.0585531,110,0.0285714
20,10000,0.370192,2.1875e+12,0.0360595,110,0.05
15,10000,0.254055,1.92604e+12,0.0265049,110,0.0666667
10,10000,0.771486,1.52246e+12,0.0178291,110,0.1
5,10000,2.23527,1.08164e+12,0.0087503,110,0.2
3,10000,1.68194,7.67722e+11,0.005126,110,0.333333
2,10000,4.59084,6.63822e+11,0.0032509,110,0.5
1,10000,10.9187,0,0.0012387,110,1
10000,10000,0.0338186,1.95367e+14,21.2137,110,0.0001
7500,10000,1.74428,3.90586e+14,19.4106,110,0.000133333
5000,10000,0.0200748,2.6344e+14,9.96388,110,0.0002
2500,10000,0.813427,1.26036e+14,4.90417,110,0.0004
1000,10000,0.552151,5.2328e+13,1.72198,110,0.001
500,10000,0.183708,2.76989e+13,0.847817,110,0.002
250,10000,1.12122,1.36778e+13,0.415868,110,0.004
200,10000,0.938977,1.13059e+13,0.346415,110,0.005
150,10000,0.986218,8.43435e+12,0.252335,110,0.00666667
100,10000,0.745329,6.29427e+12,0.181506,110,0.01
50,10000,0.401845,3.742e+12,0.0885066,110,0.02
35,10000,1.53494,2.89334e+12,0.0621585,110,0.0285714
20,10000,0.665938,2.32521e+12,0.0358715,110,0.05
15,10000,0.5611,1.90311e+12,0.0252433,110,0.0666667
10,10000,1.81333,1.53866e+12,0.017844,110,0.1
5,10000,1.33849,1.05173e+12,0.0089378,110,0.2
3,10000,4.85872,8.31854e+11,0.0051081,110,0.333333
2,10000,5.22143,6.31818e+11,0.0032099,110,0.5
1,10000,10.7982,0,0.0012515,110,1
10000,10000,0.422384,2.11919e+14,21.1652,110,0.0001
7500,10000,0.519137,4.00933e+14,19.5919,110,0.000133333
5000,10000,1.19251,2.69899e+14,10.0025,110,0.0002
2500,10000,0.617389,1.27532e+14,4.92148,110,0.0004
1000,10000,0.146052,5.10124e+13,1.76057,110,0.001
500,10000,0.570687,2.67523e+13,0.84719,110,0.002
250,10000,0.533716,1.39679e+13,0.418685,110,0.004
200,10000,0.43515,1.17509e+13,0.335831,110,0.005
