N,P,APE,kappa,runtime,K,dt
100,10000,2.13325,4.08698e+16,0.0781527,90,0.000833333
500,10000,11.1921,5.77187e+16,0.473672,90,0.000166667
1000,10000,11.2572,5.32794e+15,0.898879,90,8.33333e-05
5,10000,29.7575,5.62866e+15,0.0057346,90,0.0166667
10,10000,19.2774,1.69928e+17,0.0117809,90,0.00833333
50,10000,8.06486,2.84048e+16,0.0397435,90,0.00166667
100,10000,12.4315,2.97099e+16,0.0785168,90,0.000833333
500,10000,0.59074,1.27168e+16,0.453641,90,0.000166667
1000,10000,7.07408,1.6446e+16,0.883136,90,8.33333e-05
5,10000,10.8732,1.67354e+15,0.0064132,90,0.0166667
10,10000,3.12451,5.17505e+15,0.010896,90,0.00833333
50,10000,13.1451,4.2954e+15,0.043842,90,0.00166667
100,10000,16.3271,1.02095e+16,0.0768607,90,0.000833333
500,10000,5.08161,3.59516e+16,0.433985,90,0.000166667
1000,10000,1.98234,3.69406e+16,0.893083,90,8.33333e-05
5,10000,2.86881,1.92507e+15,0.0065281,90,0.0166667
10,10000,1.18213,3.38219e+15,0.010889,90,0.00833333
50,10000,8.1653,1.1058e+16,0.04399,90,0.00166667
100,10000,7.75439,1.11189e+16,0.0825976,90,0.000833333
500,10000,3.64544,2.24297e+16,0.458409,90,0.000166667
1000,10000,3.2012,3.39647e+16,0.893829,90,8.33333e-05
5,10000,1.14899,7.34953e+15,0.0063969,90,0.0166667
10,10000,11.4049,2.5187e+15,0.0101386,90,0.00833333
50,10000,5.33104,8.69302e+15,0.0435662,90,0.00166667
100,10000,1.97949,4.3384e+16,0.0815931,90,0.000833333
500,10000,3.78886,8.41776e+16,0.45365,90,0.000166667
1000,10000,5.10247,4.40019e+16,0.944424,90,8.33333e-05
5,10000,12.1177,1.59088e+15,0.0057285,90,0.0166667
10,10000,9.33304,1.21944e+15,0.0096076,90,0.00833333
50,10000,5.34238,7.76193e+16,0.0427569,90,0.00166667
100,10000,1.68854,2.60804e+16,0.0770548,90,0.000833333
500,10000,6.89239,8.56062e+15,0.442063,90,0.000166667
1000,10000,14.5306,1.95827e+16,0.910613,90,8.33333e-05
5,10000,3.07255,3.86591e+15,0.0075164,90,0.0166667
10,10000,9.00842,4.74045e+15,0.0145344,90,0.00833333
50,10000,18.0996,1.94017e+15,0.0429252,90,0.00166667
100,10000,12.5043,5.89899e+16,0.078767,90,0.000833333
500,10000,1.47415,3.38152e+16,0.458475,90,0.000166667
1000,10000,14.1381,1.04212e+16,0.908052,90,8.33333e-05
5,10000,6.38936,1.00885e+16,0.0062133,90,0.0166667
10,10000,9.12532,2.80525e+15,0.0126138,90,0.00833333
50,10000,14.936,1.19253e+16,0.0429572,90,0.00166667
100,10000,3.1175,2.20812e+16,0.106792,90,0.000833333
500,10000,1.45747,4.60055e+16,0.456495,90,0.000166667
1000,10000,5.41358,4.28593e+16,0.89116,90,8.33333e-05
5,10000,3.77584,1.27145e+16,0.0045877,90,0.0166667
10,10000,14.0078,3.99585e+16,0.0094759,90,0.00833333
50,10000,20.3835,1.99936e+16,0.0406005,90,0.00166667
100,10000,11.2273,1.44361e+16,0.0774943,90,0.000833333
500,10000,5.11125,1.43764e+16,0.461198,90,0.000166667
1000,10000,5.1388,1.6575e+16,0.886935,90,8.33333e-05
5,10000,6.58689,7.25396e+15,0.0051009,90,0.0166667
10,10000,23.5311,8.64716e+16,0.0092306,90,0.00833333
50,10000,19.9429,3.096e+16,0.0424366,90,0.00166667
