P,N,S0,K,T,r,v,APE
10000,10,100.0,100.0,1.0,0.05,0.2,2.1263239866686527
10000,10,100.0,100.0,1.0,0.05,0.2,0.7976947738378845
10000,10,100.0,100.0,1.0,0.05,0.2,0.571894534512531
10000,10,100.0,100.0,1.0,0.05,0.2,0.9181937482998179
10000,10,100.0,100.0,1.0,0.05,0.2,1.7558940918130501
10000,10,100.0,100.0,1.0,0.05,0.2,2.221253217583465
10000,10,100.0,100.0,1.0,0.05,0.2,2.5313867469574545
10000,10,100.0,100.0,1.0,0.05,0.2,1.2592448703497952
10000,10,100.0,100.0,1.0,0.05,0.2,1.3105074764075244
10000,10,100.0,100.0,1.0,0.05,0.2,0.872527451282935
10000,10,100.0,100.0,1.0,0.05,0.2,1.2187027005676319
10000,10,100.0,100.0,1.0,0.05,0.2,1.2962344466453979
10000,10,100.0,100.0,1.0,0.05,0.2,0.005276098443338511
10000,10,100.0,100.0,1.0,0.05,0.2,0.7212883236098341
10000,10,100.0,100.0,1.0,0.05,0.2,0.6423065029003259
10000,10,100.0,100.0,1.0,0.05,0.2,0.7221527385314721
10000,10,100.0,100.0,1.0,0.05,0.2,0.3489075752469742
10000,10,100.0,100.0,1.0,0.05,0.2,0.8808456880065771
10000,10,100.0,102.5,1.0,0.05,0.2,1.0069585178814193
10000,10,100.0,102.5,1.0,0.05,0.2,0.4829220718406491
10000,10,100.0,102.5,1.0,0.05,0.2,1.3817688119275648
10000,10,100.0,102.5,1.0,0.05,0.2,1.0556144796510127
10000,10,100.0,102.5,1.0,0.05,0.2,0.497679397787415
10000,10,100.0,102.5,1.0,0.05,0.2,0.8071305214019466
10000,10,100.0,102.5,1.0,0.05,0.2,0.9891774223622067
10000,10,100.0,102.5,1.0,0.05,0.2,1.4924716020686166
10000,10,100.0,102.5,1.0,0.05,0.2,0.8267380765615158
10000,10,100.0,102.5,1.0,0.05,0.2,1.4035971303103028
10000,10,100.0,102.5,1.0,0.05,0.2,0.7773663764728596
10000,10,100.0,102.5,1.0,0.05,0.2,1.5520324486681314
10000,10,100.0,102.5,1.0,0.05,0.2,1.3737237588512816
10000,10,100.0,102.5,1.0,0.05,0.2,1.3388186810508478
10000,10,100.0,102.5,1.0,0.05,0.2,0.9556279338963528
10000,10,100.0,102.5,1.0,0.05,0.2,1.8871665189420954
10000,10,100.0,102.5,1.0,0.05,0.2,0.47397935575137207
10000,10,100.0,102.5,1.0,0.05,0.2,1.7277486272698415
10000,10,100.0,102.5,1.0,0.05,0.2,0.3201307391126199
10000,10,100.0,102.5,1.0,0.05,0.2,0.2608436252825795
10000,10,100.0,102.5,1.0,0.05,0.2,1.7509438578199013
10000,10,100.0,102.5,1.0,0.05,0.2,1.1010288132018804
10000,10,100.0,102.5,1.0,0.05,0.2,0.7785880854406767
10000,10,100.0,102.5,1.0,0.05,0.2,1.1997226686735898
10000,10,100.0,102.5,1.0,0.05,0.2,0.3693778233995749
10000,10,100.0,102.5,1.0,0.05,0.2,1.335362140298918
10000,10,100.0,102.5,1.0,0.05,0.2,0.8365904111835576
10000,10,100.0,102.5,1.0,0.05,0.2,1.4527427025629052
10000,10,100.0,102.5,1.0,0.05,0.2,1.2173183107804657
10000,10,100.0,102.5,1.0,0.05,0.2,0.4392405562641807
10000,10,100.0,102.5,1.0,0.05,0.2,1.2686603017809162
10000,10,100.0,102.5,1.0,0.05,0.2,0.7965026331739825
10000,10,100.0,102.5,1.0,0.05,0.2,1.6250225085977434
10000,10,100.0,102.5,1.0,0.05,0.2,1.3515252169528365
10000,10,100.0,102.5,1.0,0.05,0.2,1.9980686257000175
10000,10,100.0,102.5,1.0,0.05,0.2,0.8944649857070793
10000,10,100.0,102.5,1.0,0.05,0.2,0.5075457555332802
10000,10,100.0,102.5,1.0,0.05,0.2,1.3274682465745617
10000,10,100.0,102.5,1.0,0.05,0.2,1.162776268301433
10000,10,100.0,102.5,1.0,0.05,0.2,1.3126236698566804
10000,10,100.0,102.5,1.0,0.05,0.2,1.1935019231787627
10000,10,100.0,102.5,1.0,0.05,0.2,1.1242871560100984
