N,P,APE,kappa,runtime,K,dt,runFile
1000,10000,0.527629,53468300000000.0,1.77588,110.0,0.001,0
5000,10000,0.310855,257687000000000.0,9.64774,110.0,0.0002,0
5,10000,3.28696,1058830000000.0,0.0088278,110.0,0.2,0
10,10000,1.61,1486800000000.0,0.0178467,110.0,0.1,0
100,10000,0.3137,6271570000000.0,0.168922,110.0,0.01,0
125,10000,0.735591,7691900000000.0,0.208965,110.0,0.008,0
400,10000,0.397653,22052800000000.0,0.689887,110.0,0.0025,0
500,10000,0.701616,28627100000000.0,0.861277,110.0,0.002,0
1000,10000,0.924499,54491600000000.0,1.75252,110.0,0.001,0
5000,10000,0.800297,262525000000000.0,9.68377,110.0,0.0002,0
5,10000,1.3388,1011480000000.0,0.0086388,110.0,0.2,0
10,10000,1.24813,1507680000000.0,0.0175773,110.0,0.1,0
100,10000,0.312228,6197940000000.0,0.173499,110.0,0.01,0
125,10000,0.383712,7610610000000.0,0.211137,110.0,0.008,0
400,10000,0.00197294,21652500000000.0,0.698024,110.0,0.0025,0
500,10000,0.348548,26904200000000.0,0.883386,110.0,0.002,0
1000,10000,0.812894,54032000000000.0,1.76603,110.0,0.001,0
5000,10000,0.3861,255339000000000.0,9.70768,110.0,0.0002,0
5,10000,1.28747,1058160000000.0,0.0091432,110.0,0.2,0
10,10000,0.420471,1525110000000.0,0.0177104,110.0,0.1,0
100,10000,1.15306,6290570000000.0,0.171487,110.0,0.01,0
125,10000,0.137403,7538270000000.0,0.226917,110.0,0.008,0
400,10000,0.570129,22743700000000.0,0.677875,110.0,0.0025,0
500,10000,0.410286,27781300000000.0,0.866902,110.0,0.002,0
1000,10000,0.0652785,53586600000000.0,1.74076,110.0,0.001,0
5000,10000,0.0212364,253105000000000.0,9.71908,110.0,0.0002,0
5,10000,0.478064,1057490000000.0,0.0088949,110.0,0.2,0
10,10000,0.461119,1635590000000.0,0.0181802,110.0,0.1,0
100,10000,0.570775,5923660000000.0,0.170503,110.0,0.01,0
125,10000,0.305245,7525540000000.0,0.206523,110.0,0.008,0
400,10000,0.848636,21678300000000.0,0.683428,110.0,0.0025,0
500,10000,0.137563,26611100000000.0,0.86784,110.0,0.002,0
1000,10000,0.585755,54772100000000.0,1.74178,110.0,0.001,0
5000,10000,1.01962,258146000000000.0,9.63867,110.0,0.0002,0
5,10000,1.33509,1063270000000.0,0.0083153,110.0,0.2,0
10,10000,0.59984,1521560000000.0,0.0176441,110.0,0.1,0
100,10000,0.317746,6579840000000.0,0.167825,110.0,0.01,0
125,10000,0.55832,7441070000000.0,0.206304,110.0,0.008,0
400,10000,1.52152,21603900000000.0,0.689539,110.0,0.0025,0
500,10000,0.174968,27396400000000.0,0.861572,110.0,0.002,0
1000,10000,0.048145,52735200000000.0,1.7391,110.0,0.001,0
5000,10000,0.952198,245563000000000.0,9.63132,110.0,0.0002,0
5,10000,3.50633,1121500000000.0,0.0086397,110.0,0.2,0
10,10000,2.04658,1659410000000.0,0.017393,110.0,0.1,0
100,10000,1.52772,6479570000000.0,0.169939,110.0,0.01,0
125,10000,0.0992913,7589860000000.0,0.206922,110.0,0.008,0
