Steps,Paths,AbsPercentError,Kappa,Runtime
150,1000,4.43875,1.36696e+13,0.128551
250,1000,1.70335,6.51305e+13,0.218892
500,1000,3.61526,2.84433e+13,0.444776
750,1000,11.4322,1.06135e+14,0.839242
1000,1000,3.55124,2.37667e+14,1.2131
1,1000,8.89665,0,0.0012004
5,1000,0.344129,5.73309e+11,0.0050869
25,1000,3.8334,5.22145e+12,0.0256682
50,1000,6.08308,1.88877e+14,0.0391945
100,1000,1.77335,2.30486e+14,0.0828592
150,1000,4.15674,1.14621e+13,0.155293
250,1000,6.96462,9.37266e+13,0.259533
500,1000,1.18401,3.20145e+15,0.577932
750,1000,2.3304,2.5564e+13,0.865205
1000,1000,4.48972,1.94137e+15,1.28961
1,1000,9.30502,0,0.0011131
5,1000,1.53645,5.36828e+11,0.0048517
25,1000,4.02059,7.92062e+12,0.0224826
50,1000,2.9023,9.86234e+14,0.0401509
100,1000,3.61837,5.45436e+13,0.0864353
150,1000,5.83189,1.13358e+15,0.128215
250,1000,4.16799,1.31678e+14,0.222199
500,1000,6.43513,1.03642e+14,0.509385
750,1000,6.31882,8.7679e+14,0.798638
1000,1000,3.0062,1.1317e+14,1.18335
1,1000,10.1163,0,0.0011623
5,1000,2.09943,4.72991e+11,0.0056554
25,1000,2.29704,1.69975e+13,0.0212301
50,1000,2.76629,1.13258e+13,0.038794
100,1000,1.79915,1.77748e+14,0.0857871
150,1000,1.84347,1.96852e+15,0.139761
250,1000,10.5679,1.00697e+15,0.298051
500,1000,2.63891,6.37686e+14,0.5586
750,1000,1.02541,1.96793e+14,0.801386
1000,1000,0.82601,7.14162e+14,1.06832
1,1000,1.65673,0,0.0011307
5,1000,4.6365,1.00269e+12,0.0054588
25,1000,0.720554,1.24e+13,0.0218828
50,1000,4.86727,2.68513e+13,0.041991
100,1000,1.1094,8.1098e+13,0.0880836
150,1000,1.12322,1.77253e+15,0.129407
250,1000,7.54917,8.97469e+15,0.233607
500,1000,9.64802,3.0205e+14,0.542633
750,1000,0.238605,1.43021e+15,0.84625
1000,1000,4.36177,5.15701e+15,1.07056
1,1000,1.87217,0,0.0011487
5,1000,14.4989,5.9945e+11,0.0043865
25,1000,1.11411,5.95582e+12,0.0227997
50,1000,2.20011,1.18475e+13,0.0420767
100,1000,5.21645,2.86545e+13,0.0920889
150,1000,4.87436,6.76012e+14,0.131898
250,1000,6.89691,1.19431e+14,0.208751
500,1000,3.48465,2.48533e+15,0.481309
750,1000,3.20681,3.82212e+14,0.868645
1000,1000,4.81031,5.79256e+14,1.15097
1,1000,6.88633,0,0.0011148
5,1000,4.60212,5.94326e+11,0.0053844
25,1000,2.932,7.22877e+12,0.0213914
50,1000,3.93549,5.03754e+14,0.0446573
100,1000,4.18063,8.30676e+13,0.0858393
150,1000,3.66699,9.59383e+12,0.131904
250,1000,3.69515,1.02645e+14,0.218435
500,1000,7.67587,1.74741e+14,0.507173
750,1000,3.27009,1.22598e+15,0.895827
1000,1000,2.7012,7.57148e+14,1.02578
1,1000,2.85331,0,0.0010352
5,1000,0.552401,3.77028e+11,0.0045986
