S0,K,T,r,v,price
100,94,0.08,0.025,0.8,5.957282089464829
100,94,0.08,0.04,0.05,5.445993647972978e-07
100,94,0.08,0.04,0.13,0.05435067953201232
100,94,0.08,0.04,0.21,0.3963333343771687
100,94,0.08,0.04,0.29,0.962284706512309
100,94,0.08,0.04,0.37,1.6430568244171497
100,94,0.08,0.04,0.45,2.3853422303391394
100,94,0.08,0.04,0.53,3.163369155483668
100,94,0.08,0.04,0.61,3.963592397217905
100,94,0.08,0.04,0.69,4.778291541302041
100,94,0.08,0.04,0.8,5.913785328008218
100,94,0.08,0.055,0.05,3.578734987886838e-07
100,94,0.08,0.055,0.13,0.05029295800573589
100,94,0.08,0.055,0.21,0.3818019100074406
100,94,0.08,0.055,0.29,0.9395121914989282
100,94,0.08,0.055,0.37,1.614514233481283
100,94,0.08,0.055,0.45,2.352620387203402
100,94,0.08,0.055,0.53,3.127472205367425
100,94,0.08,0.055,0.61,3.9251780106684957
100,94,0.08,0.055,0.69,4.7378105784568545
100,94,0.08,0.055,0.8,5.8709671110474595
100,94,0.08,0.07,0.05,2.3379952583993562e-07
100,94,0.08,0.07,0.13,0.0465220509331607
100,94,0.08,0.07,0.21,0.3678108929241222
100,94,0.08,0.07,0.29,0.9173476824323876
100,94,0.08,0.07,0.37,1.586594281397859
100,94,0.08,0.07,0.45,2.3205209855246505
100,94,0.08,0.07,0.53,3.092191923244797
100,94,0.08,0.07,0.61,3.887374103840835
100,94,0.08,0.07,0.69,4.697932695828135
100,94,0.08,0.07,0.8,5.828743981650547
100,94,0.08,0.1,0.05,9.802169896095356e-08
100,94,0.08,0.1,0.13,0.03975941091600924
100,94,0.08,0.1,0.21,0.3413322096613983
100,94,0.08,0.1,0.29,0.8747013887102107
100,94,0.08,0.1,0.37,1.5324655360146107
100,94,0.08,0.1,0.45,2.258019961641856
100,94,0.08,0.1,0.53,3.0233048682608668
100,94,0.08,0.1,0.61,3.813412179471678
100,94,0.08,0.1,0.69,4.619796981378319
100,94,0.08,0.1,0.8,5.745885245706862
100,97,0.08,0.01,0.05,0.006477819161504116
100,97,0.08,0.01,0.13,0.39546933252286814
100,97,0.08,0.01,0.21,1.1044211972582563
100,97,0.08,0.01,0.29,1.9050855325456433
100,97,0.08,0.01,0.37,2.7408005228997814
100,97,0.08,0.01,0.45,3.5931083843245712
100,97,0.08,0.01,0.53,4.454301260044987
100,97,0.08,0.01,0.61,5.32057649197151
100,97,0.08,0.01,0.69,6.189818289559295
100,97,0.08,0.01,0.8,7.387576935994719
100,97,0.08,0.025,0.05,0.005118240014382796
100,97,0.08,0.025,0.13,0.374376973852459
100,97,0.08,0.025,0.21,1.0722313951115805
100,97,0.08,0.025,0.29,1.8669814315740865
100,97,0.08,0.025,0.37,2.69897770976359
100,97,0.08,0.025,0.45,3.548664094622621
100,97,0.08,0.025,0.53,4.407858867334335
100,97,0.08,0.025,0.61,5.272523509795149
100,97,0.08,0.025,0.69,6.140412604087621
100,97,0.08,0.025,0.8,7.3365959774687814
100,97,0.08,0.04,0.05,0.00403032328439302
100,97,0.08,0.04,0.13,0.3545198539544943
100,97,0.08,0.04,0.21,1.041322482377771
100,97,0.08,0.04,0.29,1.8301202036438027
100,97,0.08,0.04,0.37,2.6583538309820374
100,97,0.08,0.04,0.45,3.505379999810603
100,97,0.08,0.04,0.53,4.362543404727232
100,97,0.08,0.04,0.61,5.225569602382536
100,97,0.08,0.04,0.69,6.0920831339435075
100,97,0.08,0.04,0.8,7.286665592208928
100,97,0.08,0.055,0.05,0.0031614689500163904
100,97,0.08,0.055,0.13,0.33575409927383065
100,97,0.08,0.055,0.21,1.0115155109223908
100,97,0.08,0.055,0.29,1.7943059181176397
100,97,0.08,0.055,0.37,2.618724372549018
100,97,0.08,0.055,0.45,3.4630457990857817
100,97,0.08,0.055,0.53,4.318141874508078
100,97,0.08,0.055,0.61,5.179500094847185
100,97,0.08,0.055,0.69,6.0446133471958365
100,97,0.08,0.055,0.8,7.237567376570375
100,97,0.08,0.07,0.05,0.002469857872539868
100,97,0.08,0.07,0.13,0.31798686855310204
100,97,0.08,0.07,0.21,0.9827088593715546
100,97,0.08,0.07,0.29,1.759432106151583
100,97,0.08,0.07,0.37,2.579981172716909
100,97,0.08,0.07,0.45,3.421553489860144
100,97,0.08,0.07,0.53,4.274545028582734
100,97,0.08,0.07,0.61,5.13420568639183
100,97,0.08,0.07,0.69,5.99789416161535
100,97,0.08,0.07,0.8,7.189192320136529
100,97,0.08,0.1,0.05,0.0014883718454412418
100,97,0.08,0.1,0.13,0.285174559367703
100,97,0.08,0.1,0.21,0.9278260918512522
100,97,0.08,0.1,0.29,1.6922391815064495
100,97,0.08,0.1,0.37,2.5048880120725183
100,97,0.08,0.1,0.45,3.3408299578496763
100,97,0.08,0.1,0.53,4.1895064174985395
100,97,0.08,0.1,0.61,5.045683564593193
100,97,0.08,0.1,0.69,5.906449594790688
100,97,0.08,0.1,0.8,7.094355602364697
