N,P,APE,kappa,runtime,K,runType
1,10000,7.87227,0.0,0.003461,105.0,1.0
1,10000,4.56271,0.0,0.0097874,97.5,1.0
1,10000,7.81624,0.0,0.0030461,105.0,1.0
1,10000,8.08769,0.0,0.0028472,105.0,1.0
1,10000,4.5677,0.0,0.0075103,97.5,1.0
1,10000,4.68124,0.0,0.0073818,97.5,1.0
1,10000,5.58057,0.0,0.0094294,100.0,1.0
1,10000,5.58192,0.0,0.0031619,100.0,1.0
1,10000,5.56491,0.0,0.0087027,100.0,1.0
1,10000,5.33933,0.0,0.0023567,100.0,1.0
1,10000,5.53714,0.0,0.0087273,100.0,1.0
1,10000,5.57516,0.0,0.003671,100.0,1.0
1,10000,5.57672,0.0,0.0094761,100.0,1.0
1,10000,5.51383,0.0,0.0036446,100.0,1.0
1,10000,5.52054,0.0,0.0076797,100.0,1.0
1,10000,5.60299,0.0,0.0031124,100.0,1.0
1,10000,5.53653,0.0,0.0122442,100.0,1.0
1,10000,5.63516,0.0,0.0038322,100.0,1.0
1,10000,5.68967,0.0,0.0039688,100.0,1.0
1,10000,5.55386,0.0,0.0036637,100.0,1.0
1,10000,5.54564,0.0,0.0070105,100.0,1.0
1,10000,5.72779,0.0,0.0035973,100.0,1.0
1,10000,5.53491,0.0,0.0085478,100.0,1.0
1,10000,5.47437,0.0,0.0039588,100.0,1.0
1,10000,5.55373,0.0,0.0082491,100.0,1.0
1,10000,5.61249,0.0,0.0067059,100.0,1.0
1,10000,5.58513,0.0,0.0101281,100.0,1.0
1,10000,5.69806,0.0,0.0032607,100.0,1.0
1,10000,5.56269,0.0,0.0075774,100.0,1.0
1,10000,5.63495,0.0,0.0030888,100.0,1.0
1,10000,5.4936,0.0,0.0070703,100.0,1.0
1,10000,5.59297,0.0,0.0063398,100.0,1.0
1,10000,5.61283,0.0,0.0028742,100.0,1.0
1,10000,5.59136,0.0,0.0083563,100.0,1.0
1,10000,8.09529,0.0,0.0043287,105.0,1.0
1,10000,5.57596,0.0,0.0100344,100.0,1.0
1,10000,5.61033,0.0,0.0031967,100.0,1.0
1,10000,5.61637,0.0,0.0065961,100.0,1.0
1,10000,5.58892,0.0,0.0029067,100.0,1.0
1,10000,5.6119,0.0,0.0091896,100.0,1.0
1,10000,5.45771,0.0,0.0032003,100.0,1.0
1,10000,5.67781,0.0,0.0061958,100.0,1.0
1,10000,5.41846,0.0,0.0038124,100.0,1.0
1,10000,5.67637,0.0,0.0074845,100.0,1.0
1,10000,5.63418,0.0,0.0028671,100.0,1.0
1,10000,5.60682,0.0,0.0080017,100.0,1.0
1,10000,5.44417,0.0,0.0032082,100.0,1.0
1,10000,5.62139,0.0,0.0081477,100.0,1.0
1,10000,5.60527,0.0,0.0045935,100.0,1.0
1,10000,5.53041,0.0,0.0088245,100.0,1.0
1,10000,5.53651,0.0,0.0029527,100.0,1.0
1,10000,5.52134,0.0,0.0079473,100.0,1.0
1,10000,5.4688,0.0,0.005469,100.0,1.0
1,10000,5.53616,0.0,0.0083238,100.0,1.0
1,10000,5.50689,0.0,0.0035249,100.0,1.0
1,10000,5.50973,0.0,0.007348,100.0,1.0
1,10000,5.64254,0.0,0.0029084,100.0,1.0
1,10000,5.6069,0.0,0.0074276,100.0,1.0
